,link_id,pipeline_segment_name,type,how_many_states_does_the_pipeline_segment_run_through,what_state_does_the_pipeline_run_through_1,what_county_ies_does_the_pipeline_run_through_in_state_1,what_state_does_the_pipeline_run_through_2,what_county_ies_does_the_pipeline_run_through_in_state_2,what_state_does_the_pipeline_run_through_3,what_county_ies_does_the_pipeline_run_through_in_state_3,what_state_does_the_pipeline_run_through_4,what_county_ies_does_the_pipeline_run_through_in_state_4,is_this_pipeline_buried_or_above_ground,pipeline_segment_start_point_latitude,pipeline_segment_start_point_longitude,pipeline_segment_end_point_latitude,pipeline_segment_end_point_longitude,minimum_capacity_mmt_yr,maximum_capacity_mmt_yr,is_the_dispersion_study_done,is_the_dispersion_study_accessible,please_provide_the_link_to_your_dispersion_study,field_1481,pipeline_feed_study_date_completed,distance_of_pipeline_segment_mi,pipeline_diameter_of_pipeline_segment_inches,pipeline_segment_optional_notes_17,field_905
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Add Pipeline Segment
1,1,,Stationary Source,1,North Dakota,Oliver,,,,,,,Buried,,,,,,,,,,No,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,"revisit above vs below (can be both)
take the pipeline back to where it stops being a pipeline - first major connection (distance from source to storage facility)",Add additional pipeline
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Dry Fork Station,Stationary Source,,,,,,,,,,,,,,,,,,,,,,8,,,
14,14,Dry Fork Station,Stationary Source,,,,,,,,,,,,,,,,,,,,,,8,,,
15,15,Dry Fork Station,Stationary Source,,,,,,,,,,,,,,,,,,,,,,8,,,
16,16,Dry Fork Station,Stationary Source,,,,,,,,,,,,,,,,,,,,,,8,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Red Pipeline,Stationary Source,,,,,,,,,,,,,,,,,,,,,4/11/2023,2.1,5,,Add additional pipeline
20,20,,,,,,,,,,,,,,,,,,,,,,,,,,"The information is not given as detailed as it is asked here. They studied conceptual pipeline networks for future potential source expansion with 80 or 240 km distance with high and low capacity scenarios. They did not provide individual segment coordinates, lengths, or sizes.",
21,21,Dry Fork Station,Stationary Source,,,,,,,,,,,,,,,,,,,,,4/16/2020,8,21.6,assume 5-mile pipeline from source. all other values estimated.,
22,22,Dry Fork Station,Stationary Source,,,,,,,,,,,,,,,,,,,,,,8,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Add Pipeline Segment
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,Add additional pipeline
20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Add Pipeline Segment
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Green Pipeline,Stationary Source,,,,,,,,,,,,,,,,,,,,,4/10/2023,1,2,May be out of commission,Add additional pipeline
20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Yellow Pipeline,CO2 Trunkline,,,,,,,,,,,,,,,,,,,,,4/6/2023,0.3,2,,
20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
