,link_id,storage_facility_state,what_counties_parishes_are_the_storage_facilities
1,1,North Dakota,
1,1,Oliver,
2,2,Illinois,
2,2,Ford County and McClean County,
3,3,Arkansas,
3,3,"X County, Y County",
5,5,Illinois,Illinois
5,5,Washington,"Ford, McClean"
11,11,Illinois,
11,11,Yoknapatawpha County,
12,12,Illinois,
12,12,Yoknapatawpha County,
13,13,Wyoming,
13,13,Campbell County,
14,14,Wyoming,
14,14,Campbell County,
15,15,Wyoming,
15,15,Campbell County,
16,16,Wyoming,
16,16,Campbell County,
17,17,Indiana,
17,17,Vigo County,
19,19,North Dakota,
19,19,Ramsey County,
20,20,Indiana,
20,20,Vigo County,
21,21,Wyoming,
21,21,Campbell,
22,22,Wyoming,
22,22,Campbell County,
